Nome,Idade,Sexo,Turma,Rm,Pontuacao,Num_simulacoes,Num_insignias
Angela Rhodes,33,F,5LPNY,772237,0,3,0
Bridget Taylor,43,F,9LPNX,136872,2590,3,14
Kelly Yang,44,F,5LPNZ,786907,1850,2,10
Melissa Thompson,25,F,6LPNY,968947,185,3,1
Timothy Cook,49,M,1LPNZ,233747,2775,3,15
Ian Mclean,18,M,1LPNW,497383,2775,3,15
Eric Alvarado,36,M,2LPNW,200476,0,3,0
Wendy Martinez,20,F,6LPNY,757486,740,1,4
Micheal Gomez,27,M,9LPNZ,903930,1850,3,10
Billy Morris,20,M,4LPNW,416922,740,3,4
Benjamin Wood,42,M,5LPNY,766877,185,1,1
Phyllis Parker,31,F,2LPNX,170617,740,1,4
Chris Gomez,32,M,10LPNW,811119,740,2,4
Jessica Heath,49,F,7LPNX,255591,925,2,5
Misty Smith,22,F,8LPNX,673524,185,2,1
David Williams,29,M,9LPNW,324938,185,1,1
Chris Gray II,19,M,2LPNY,744547,2220,3,12
Michael Castro,33,M,2LPNY,176655,740,1,4
Nancy Ramirez,34,F,7LPNX,775461,370,3,2
Lori Wheeler,50,F,9LPNX,176291,0,1,0
Stephanie Nelson,36,F,7LPNX,184145,185,1,1
William Brooks,28,M,4LPNW,823876,0,1,0
Kayla Wilson,33,F,8LPNY,822649,2035,3,11
Sandra Hill,47,F,6LPNY,964099,1110,3,6
Matthew Hall,38,M,1LPNZ,159462,555,1,3
Michael Jackson,36,M,4LPNW,552041,370,2,2
Steven Lopez,46,M,4LPNW,885429,1850,3,10
Dr. Anita Black MD,28,F,9LPNY,927847,740,2,4
Jennifer Frazier,20,F,8LPNY,301851,1110,3,6
Derrick Sullivan,27,M,7LPNX,940150,0,3,0
Kenneth Clark,34,M,1LPNX,139677,740,1,4
Michelle Harris,33,F,6LPNX,230977,1110,3,6
Gabriel Copeland,47,M,1LPNX,817998,925,1,5
Jamie Stevenson,37,F,10LPNX,830646,925,1,5
Bryan Carter,45,M,4LPNZ,769000,370,2,2
Mark Blankenship,18,M,10LPNW,577760,555,1,3
Nicole Rodriguez,39,F,8LPNZ,340230,740,1,4
Catherine Marshall,21,F,5LPNW,610502,2220,3,12
Julia Morgan,39,F,8LPNW,239513,370,2,2
Andrew Yang,39,M,2LPNY,714287,1665,3,9
Richard Hartman,38,M,4LPNX,483155,555,3,3
Tracey Thomas,34,F,6LPNX,199628,0,2,0
Isabel Roth,39,F,3LPNW,121854,925,1,5
Roy Evans,28,M,4LPNY,543214,925,2,5
Chad Thompson,28,M,1LPNX,590419,1480,2,8
Brian Miller,30,M,9LPNW,999251,185,2,1
Anthony Lawson,27,M,6LPNW,175512,555,3,3
Latoya Rodriguez,24,F,7LPNX,455539,925,1,5
Jeff Dunn,29,M,10LPNY,776905,370,2,2
Christopher Sanchez,40,M,3LPNY,337808,555,1,3
Andrew Mccormick,49,M,3LPNW,935007,370,1,2
